Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
HIF-1 signaling pathway	2/109	0.840695144	0.999953407	0	0	0.606172936	0.105186873	EGF;EIF4EBP1
Steroid hormone biosynthesis	Jan-61	0.842981668	0.999953407	0	0	0.540911633	0.092393153	CYP7B1
Amyotrophic lateral sclerosis	8/364	0.85423012	0.999953407	0	0	0.726693501	0.114493947	TUBB6;DDIT3;RAB39B;CHCHD10;TUBB4B;ATF6;COX6A2;ATF4
Cholinergic synapse	2/113	0.85496262	0.999953407	0	0	0.584207737	0.091543909	GNG8;ATF4
Serotonergic synapse	2/113	0.85496262	0.999953407	0	0	0.584207737	0.091543909	GNG8;PTGS1
GnRH secretion	Jan-64	0.856668116	0.999953407	0	0	0.515074039	0.079684374	SPP1
Glutamatergic synapse	2/114	0.858342675	0.999953407	0	0	0.578961585	0.088437465	GNG8;GRIA4
JAK-STAT signaling pathway	3/162	0.865824622	0.999953407	0	0	0.611269932	0.088067435	CTF1;EGF;IL3RA
Salmonella infection	5/249	0.868430943	0.999953407	0	0	0.663179829	0.093552928	TUBB6;CASP7;TCF7;CASP4;TUBB4B
Long-term potentiation	Jan-67	0.869163396	0.999953407	0	0	0.491585316	0.06893213	ATF4
Mitophagy	Jan-68	0.873081943	0.999953407	0	0	0.484223179	0.065721609	ATF4
Growth hormone synthesis, secretion and action	2/119	0.874186708	0.999953407	0	0	0.554075989	0.074501779	IRS1;ATF4
Neurotrophin signaling pathway	2/119	0.874186708	0.999953407	0	0	0.554075989	0.074501779	IRS1;ATF4
Renin secretion	Jan-69	0.876883318	0.999953407	0	0	0.477077576	0.062679092	PDE3A
Cytokine-cytokine receptor interaction	6/295	0.877621245	0.999953407	0	0	0.671455922	0.087651965	IL33;CTF1;CXCR3;CCL5;IL3RA;ACKR3
Thyroid hormone signaling pathway	2/121	0.880054853	0.999953407	0	0	0.544707295	0.069597818	ATP2A3;GATA4
Epithelial cell signaling in Helicobacter pylori infection	Jan-70	0.88057102	0.999953407	0	0	0.470139092	0.059794497	CCL5
Human immunodeficiency virus 1 infection	4/212	0.880856094	0.999953407	0	0	0.622486704	0.078969292	WEE1;CDK1;CGAS;GNG8
Osteoclast differentiation	2/127	0.896175352	0.999953407	0	0	0.5184	0.056826583	NCF2;RELB
Thyroid hormone synthesis	Jan-75	0.897419727	0.999953407	0	0	0.438259568	0.047433536	ATF4
Bacterial invasion of epithelial cells	Jan-77	0.903474768	0.999953407	0	0	0.426682268	0.043311278	CAV2
Leishmaniasis	Jan-77	0.903474768	0.999953407	0	0	0.426682268	0.043311278	NCF2
Coronavirus disease	4/232	0.918665494	0.999953407	0	0	0.567290909	0.04812511	C4B;CGAS;ISG15;MASP1
Taste transduction	Jan-86	0.926598568	0.999953407	0	0	0.38132649	0.029070368	ENTPD2
Chemokine signaling pathway	3/192	0.928811281	0.999953407	0	0	0.513441291	0.037917487	CCL5;CXCR3;GNG8
Spinocerebellar ataxia	2/143	0.929831431	0.999953407	0	0	0.459193039	0.033407196	RBPJL;ATP2A3
Cell adhesion molecules	2/148	0.938033064	0.999953407	0	0	0.443352135	0.028361272	SDC3;CD276
Retrograde endocannabinoid signaling	2/148	0.938033064	0.999953407	0	0	0.443352135	0.028361272	GNG8;GRIA4
Shigellosis	4/246	0.938342507	0.999953407	0	0	0.534082199	0.033989125	RRAGB;CCL5;CASP4;CGAS
Th1 and Th2 cell differentiation	Jan-92	0.938851769	0.999953407	0	0	0.356073457	0.022467406	RBPJL
GnRH signaling pathway	Jan-93	0.940685417	0.999953407	0	0	0.352184856	0.021534872	ATF4
Rheumatoid arthritis	Jan-93	0.940685417	0.999953407	0	0	0.352184856	0.021534872	CCL5
Adrenergic signaling in cardiomyocytes	2/150	0.941052144	0.999953407	0	0	0.437315467	0.026569857	ATP2A3;ATF4
Phosphatidylinositol signaling system	Jan-97	0.94748719	0.999953407	0	0	0.337440576	0.018202173	MTM1
mRNA surveillance pathway	Jan-98	0.949062273	0.999953407	0	0	0.33394451	0.017458907	GSPT2
Huntington disease	5/306	0.952985119	0.999953407	0	0	0.535994882	0.025811364	TUBB6;TUBB4B;COX6A2;BBC3;GRIA4
Necroptosis	2/159	0.952989809	0.999953407	0	0	0.412053739	0.019840828	ZBP1;IL33
Chagas disease	1/102	0.954904809	0.999953407	0	0	0.320652535	0.014796069	CCL5
Pancreatic secretion	1/102	0.954904809	0.999953407	0	0	0.320652535	0.014796069	ATP2A3
C-type lectin receptor signaling pathway	1/104	0.957570135	0.999953407	0	0	0.314393693	0.013630951	RELB
Leukocyte transendothelial migration	1/114	0.968714739	0.999953407	0	0	0.286422759	0.009103975	NCF2
Thermogenesis	3/232	0.971015823	0.999953407	0	0	0.422875039	0.012437818	COX6A2;FGF21;FGFR1
Alcoholism	2/186	0.976470487	0.999953407	0	0	0.351096091	0.008359862	GNG8;ATF4
RNA transport	2/186	0.976470487	0.999953407	0	0	0.351096091	0.008359862	XPOT;EIF4EBP1
Neutrophil extracellular trap formation	2/189	0.97823574	0.999953407	0	0	0.345409608	0.007600598	NCF2;CASP4
Natural killer cell mediated cytotoxicity	1/131	0.981369313	0.999953407	0	0	0.248748064	0.004678062	RAET1E
Oxidative phosphorylation	1/133	0.982471961	0.999953407	0	0	0.244953732	0.004331633	COX6A2
Systemic lupus erythematosus	1/135	0.983509442	0.999953407	0	0	0.241272664	0.004011892	C4B
Yersinia infection	1/137	0.984485603	0.999953407	0	0	0.237699862	0.003716676	WIPF3
Spliceosome	1/150	0.989566648	0.999953407	0	0	0.216814558	0.002273986	HSPA8
Oxytocin signaling pathway	1/154	0.990766095	0.999953407	0	0	0.211102338	0.001958354	PPP1R12B
Neuroactive ligand-receptor interaction	4/341	0.992017269	0.999953407	0	0	0.381623391	0.003058621	POMC;PTGIR;CALCRL;GRIA4
Herpes simplex virus 1 infection	6/498	0.997468605	0.999994962	0	0	0.390223268	9.89E-04	ZFP57;CCL5;EIF4EBP1;IRF7;CGAS;PML
Olfactory transduction	1/440	0.999994962	0.999994962	0	0	0.072480164	3.65E-07	CNGB1
